,location,price,bedrooms,bathrooms,garage,area
310,Cd de los Niños,"
                    $65,000
                    
                ",4,4+,3,400 m²
311,Hacienda de las Lomas,"
                    $28,000
                    
                ",3,3,2,154 m²
312,Tepeyac Casino,"
                    $12,000
                    
                ",2,2,2,104 m²
313,Pontevedra,"
                    $80,000
                    
                ",3,4+,4+,500 m²
314,Paseos del Sol,"
                    $6,200
                    
                ",2,1,1,65 m²
315,Heroes Nacionales,"
                    $9,800
                    
                ",3,2,2,95 m²
316,Arcos de Guadalupe,"
                    $21,000
                    
                ",3,3,2,119 m²
317,Auditorio,"
                    $7,500
                    
                ",3,1,2,133 m²
318,Lomas del Valle,"
                    $25,500
                    
                ",4,4+,2,117 m²
319,San Miguel de la Colina,"
                    $23,000
                    
                ",2,2,2,145 m²
320,Altamira,"
                    $14,500
                    
                ",2,2,1,133 m²
321,Zona Real,"
                    $21,000
                    
                ",3,2,2,135 m²
322,Lomas Altas,"
                    $12,000
                    
                ",2,1,2,108 m²
323,Parques Tesistan,"
                    $6,800
                    
                ",2,1,1,80 m²
324,Zapopan,"
                    $11,300
                    
                ",3,2,2,115 m²
325,Altamira,"
                    $14,500
                    
                ",2,2,1,133 m²
326,San Miguel de la Colina,"
                    $28,000
                    
                ",2,2,2,145 m²
327,Jardín Real,"
                    $25,000
                    
                ",3,3,2,320 m²
328,Jardín Real,"
                    $25,000
                    
                ",3,3,2,320 m²
329,Valle Real,"
                    $45,000
                    
                ",3,4+,3,360 m²
330,Puerta del Valle,"
                    $27,000
                    
                ",2,2,2,117 m²
331,Jal.,"
                        $12,000
                        
                    ",4,3,2,90 m²
332,Zapopan,"
                    $30,000
                    
                ",3,3,2,200 m²
333,La Gloria,"
                    $25,000
                    
                ",3,4+,2,308 m²
334,Granja,"
                    $16,500
                    
                ",4,3,2,103 m²
335,Puerta de Hierro,"
                    $29,000
                    
                ",2,2,2,120 m²
336,Zapopan,"
                    $14,000
                    
                ",3,3,2,115 m²
337,La Magdalena,"
                    $7,000
                    
                ",3,3,2,90 m²
338,Zapopan,"
                    $4,300
                    
                ",2,1,1,42 m²
339,Cd del Sol,"
                    $34,000
                    
                ",4,4+,3,280 m²
340,Jardín Real,"
                    $20,000
                    
                ",3,4+,3,300 m²
341,Pinar de la Venta,"
                    $16,900
                    
                ",4,4+,3,1275 m²
342,Mirador del Sol,"
                    $14,000
                    
                ",3,2,2,127 m²
343,Zapopan,"
                    $16,000
                    
                ",2,2,0,84 m²
344,Tesistán,"
                    $12,500
                    
                ",3,2,2,106 m²
345,Las Águilas,"
                    $11,000
                    
                ",3,2,2,133 m²
346,Granja,"
                    $15,000
                    
                ",1,1,2,88 m²
347,Bosques del Centinela,"
                        $10,000
                        
                    ",2,2,2,90 m²
